# index x_or_RA y_or_Dec star_flag niriss_f090w_magnitude niriss_f115w_magnitude niriss_f140m_magnitude niriss_f150w_magnitude niriss_f158m_magnitude niriss_f200w_magnitude niriss_f277w_magnitude niriss_f356w_magnitude niriss_f380m_magnitude niriss_f430m_magnitude niriss_f444w_magnitude niriss_f480m_magnitude radius sersic_index ellipticity pos_angle
1 81.1330243648446 -70.08435848187852 1 22.3172 21.2307 20.8545 20.7759 20.7102 20.4522 20.2287 20.1341 20.0939 20.0542 20.1302 20.2349 0.2077 0.4366 0.5315 329.5995
2 81.05599938415182 -70.07488739072602 1 26.3135 25.0896 24.7686 24.7069 24.6557 24.4212 24.158 24.058 24.0298 23.8606 23.9733 24.0668 0.1005 1.9566 0.618 232.2183
3 81.1067876056524 -70.08731011040538 1 24.5573 23.153 22.5868 22.4619 22.358 21.9548 21.5007 21.3012 21.2414 21.0826 21.1847 21.2778 0.0992 2.501 0.7965 156.1685
4 81.03853633360723 -70.0903021202921 1 25.1066 23.7561 23.2122 23.0873 22.986 22.5985 22.1597 21.9634 21.9148 21.7579 21.8538 21.9423 0.1242 0.9721 0.4129 350.0025
5 81.13347342259219 -70.0933403359421 1 24.1653 22.8436 22.3234 22.2077 22.1147 21.7683 21.3753 21.2187 21.1841 21.0154 21.1223 21.2294 0.1469 2.1143 0.3883 232.4644
6 81.12992792012821 -70.10202573555746 1 24.7657 23.5061 23.0145 22.9029 22.813 22.4895 22.0954 21.9502 21.9259 21.7579 21.8626 21.9715 0.0752 1.2027 0.7598 115.4208
7 81.1250235021257 -70.09936342139424 1 25.1842 23.8259 23.2719 23.1386 23.031 22.6458 22.2019 22.0034 21.9684 21.7958 21.8827 21.9635 0.1545 1.7754 0.706 139.3677
8 81.13601714520377 -70.10173360081764 1 23.9352 22.6503 22.1301 22.0103 21.9132 21.5982 21.2408 21.1117 21.095 20.9414 21.0298 21.1284 0.1871 1.7355 0.387 251.8958
9 81.06241341182667 -70.08213709190473 1 25.8668 24.5822 24.0581 23.9344 23.8325 23.5184 23.1623 23.0188 23.0253 22.8747 22.9227 22.9918 0.1464 0.1212 0.2513 228.9505
10 81.04226472556158 -70.08425441760669 1 23.738 22.2546 21.8289 21.731 21.6508 21.4091 21.0606 20.9133 20.9492 20.7539 20.7809 20.8167 0.0862 1.8109 0.7498 70.0824
11 81.13600573164975 -70.0719846853482 1 23.6628 23.0017 22.8977 22.9139 22.9323 22.6475 22.5964 22.5972 22.6142 22.5095 22.5197 22.506 0.1422 0.8234 0.3347 164.1413
12 81.11027813114595 -70.1013278296695 1 24.3531 23.7318 23.5249 23.5758 23.6249 23.3459 23.2694 23.2663 23.27 23.1893 23.1889 23.1319 0.2976 0.6119 0.4564 312.8045
13 81.12665401948854 -70.09458038048105 1 24.0401 23.728 23.3767 23.5843 23.8132 23.4984 23.4523 23.5172 23.513 23.4473 23.4453 23.3963 0.1301 1.1386 0.6666 169.7231
14 81.05612483584515 -70.09717934475835 1 24.5338 23.7387 23.4305 23.4294 23.4313 23.3243 23.134 23.0642 23.032 22.9758 22.9634 22.9054 0.3341 2.339 0.5713 38.9765
15 81.11471265292688 -70.07831493764604 1 24.2907 23.7048 23.5098 23.5265 23.5451 23.4667 23.151 22.9797 22.9317 22.8098 22.7713 22.6443 0.3192 0.3924 0.0011 338.9777
16 81.03592779994308 -70.06796326180962 1 24.6075 23.8326 23.4984 23.5055 23.509 23.269 23.2046 23.2223 23.22 23.2223 23.2063 23.1831 0.3668 0.1024 0.2997 288.2898
17 81.08410388230969 -70.06813275861984 1 24.2453 23.433 23.0219 23.0277 23.0313 22.7237 22.5107 22.4092 22.3715 22.3629 22.3044 22.207 0.2094 0.9459 0.4783 304.0606
18 81.11935077233977 -70.0782755370854 1 24.5327 23.588 23.0283 23.008 22.9863 22.7309 22.3659 22.1983 22.1326 22.1404 22.0626 21.9451 0.3033 5.2839 0.1928 68.4509
19 81.06726706922687 -70.10006496342352 1 24.6954 23.9495 23.5121 23.529 23.5418 23.3225 23.0474 22.8982 22.8284 22.8628 22.7866 22.6815 0.2042 4.2675 0.8008 76.5663
20 81.0996141474156 -70.09330697298255 1 24.2326 23.5572 23.1574 23.2334 23.2984 23.0351 22.9799 22.9517 22.9102 22.961 22.9219 22.8726 0.1046 1.5155 0.8579 76.2983
